OBJECTID,REACHCODE,REACHRESOL,SOURCE_ORI,SOURCE_FEA,FEATUREDET,Measure,EventType,FLComID,AGENCY_CD,STATION_NM,STATE_CD,STATE,DASqMi,DASqKm,LatSite,LonSite,Active,ActiveDate,GagesII,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE
114,"01100005001677",Medium,"USGS, Water Resources Division","01208420",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01208420,35.526190000000000,StreamGage,"166182153",USGS,"HOP BROOK NEAR NAUGATUCK, CT","9",CT,16.300000000000001,42.216999999999999,41.505929960000003,-73.058163600000000,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
158,"01080205000177",Medium,"USGS, Water Resources Division","01192704",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01192704,4.140830000000000,StreamGage,"7700366",USGS,MATTABESSET RIVER AT ROUTE 372 AT EAST BERLIN,"9",CT,48.100000000000001,124.578999999999994,41.608154499999998,-72.715095300000002,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
159,"01100002000039",Medium,"USGS, Water Resources Division","01121330",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01121330,37.547809999999998,StreamGage,"6162579",USGS,"FENTON RIVER AT MANSFIELD, CT","9",CT,18.300000000000001,47.396999999999998,41.833194440000000,-72.242780600000003,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
170,"01090004000841",Medium,"USGS, Water Resources Division","01115120",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01115120,80.048829999999995,StreamGage,"6128603",USGS,"UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI","44",RI,0.280000000000000,0.725200000000000,41.831488200000003,-71.608953200000002,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
198,"01090004000780",Medium,"USGS, Water Resources Division","01115276",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01115276,52.144579999999998,StreamGage,"6128797",USGS,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI","44",RI,5.180000000000000,13.416200000000000,41.785377199999999,-71.667288499999998,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
200,"01090001000127",Medium,"USGS, Water Resources Division","01103500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01103500,83.197770000000006,StreamGage,"5867435",USGS,"CHARLES RIVER AT DOVER, MA","25",MA,183.000000000000000,473.970000000000027,42.256208999999998,-71.260055800000004,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
204,"01100005001586",Medium,"USGS, Water Resources Division","01208500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01208500,23.352150000000002,StreamGage,"7718060",USGS,"NAUGATUCK RIVER AT BEACON FALLS, CT","9",CT,260.000000000000000,673.399999999999977,41.442300000000003,-73.062283300000004,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
219,"01100006000582",Medium,"USGS, Water Resources Division","01208990",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01208990,94.858480000000000,StreamGage,"7731677",USGS,"SAUGATUCK RIVER NEAR REDDING, CT","9",CT,21.000000000000000,54.390000000000001,41.294539999999998,-73.395120289999994,"1","20151006",Ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
242,"01090004000845",Medium,"USGS, Water Resources Division","01115098",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01115098,18.010339999999999,StreamGage,"6128495",USGS,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI","44",RI,4.960000000000000,12.846399999999999,41.852599200000000,-71.606175399999998,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
250,"01100006000144",Medium,"USGS, Water Resources Division","01209901",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01209901,58.161960000000001,StreamGage,"7733045",USGS,"RIPPOWAM RIVER AT STAMFORD, CT.","9",CT,34.000000000000000,88.060000000000002,41.066111100000001,-73.549272200000004,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
253,"01100005000411",Medium,"USGS, Water Resources Division","01201487",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01201487,83.266599999999997,StreamGage,"7716694",USGS,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT","9",CT,62.299999999999997,161.356999999999999,41.465822199999998,-73.403202780000001,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
254,"01090004000125",Medium,"USGS, Water Resources Division","01116500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01116500,65.014960000000002,StreamGage,"6129655",USGS,"PAWTUXET RIVER AT CRANSTON, RI","44",RI,200.000000000000000,518.000000000000000,41.750933990000000,-71.445057500000004,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
266,"01090004000997",Medium,"USGS, Water Resources Division","01109403",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01109403,41.880150000000000,StreamGage,"6128655",USGS,"TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI","44",RI,53.100000000000001,137.528999999999996,41.830933760000001,-71.351164900000001,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
336,"01070004000476",Medium,"USGS, Water Resources Division","01095220",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01095220,51.980870000000003,StreamGage,"6078267",USGS,"STILLWATER RIVER NEAR STERLING, MA","25",MA,31.600000000000001,81.843999999999994,42.410925069999998,-71.791182899999995,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
338,"01100005000053",Medium,"USGS, Water Resources Division","01199000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01199000,50.111089999999997,StreamGage,"7711932",USGS,"HOUSATONIC RIVER AT FALLS VILLAGE, CT","9",CT,634.000000000000000,1642.059999999999945,41.957315479999998,-73.369285770000005,"1","20151006",Non-ref,0.641,5.220,"139","6","95",9e,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC,"9"
364,"01090003000106",Medium,"USGS, Water Resources Division","01110000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01110000,64.467889999999997,StreamGage,"6115740",USGS,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA","25",MA,25.600000000000001,66.304000000000002,42.230372000000003,-71.710902300000001,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
425,"01090001000501",Medium,"USGS, Water Resources Division","01105600",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01105600,95.456440000000001,StreamGage,"5863773",USGS,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA","25",MA,4.500000000000000,11.654999999999999,42.190377900000001,-70.944767900000002,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
426,"01080107000607",Medium,"USGS, Water Resources Division","01154950",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01154950,86.516750000000002,StreamGage,"9331072",USGS,"COLD RIVER AT HIGH STREET, AT ALSTEAD, NH","33",NH,74.599999999999994,193.213999999999999,43.149444440000003,-72.361666700000001,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
453,"01100001000522",Medium,"USGS, Water Resources Division","01125000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01125000,50.582859999999997,StreamGage,"6144829",USGS,"FRENCH RIVER AT WEBSTER, MA","25",MA,86.000000000000000,222.740000000000009,42.050929799999999,-71.885072080000000,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
454,"01090001000637",Medium,"USGS, Water Resources Division","01103455",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01103455,51.247819999999997,StreamGage,"5867443",USGS,"TROUT BROOK AT DOVER, MA","25",MA,3.720000000000000,9.634800000000000,42.253986449999999,-71.293390169999995,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
466,"01090001000497",Medium,"USGS, Water Resources Division","01105606",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01105606,90.502340000000004,StreamGage,"5863459",USGS,"WHITMANS POND, WHITMANS POND DAM AT E. WEYMOUTH,MA","25",MA,12.400000000000000,32.116000000000000,42.210833299999997,-70.929444399999994,"1","20151006",,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
496,"01090001000111",Medium,"USGS, Water Resources Division","01104715",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01104715,0.264320000000000,StreamGage,"5868233",USGS,"CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA","25",MA,335.000000000000000,867.649999999999977,42.368888890000001,-71.061666700000004,"1","20151006",,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
536,"01080207000070",Medium,"USGS, Water Resources Division","01186500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01186500,72.434100000000001,StreamGage,"6111419",USGS,"STILL RIVER AT ROBERTSVILLE, CT","9",CT,85.000000000000000,220.150000000000006,41.967922199999997,-73.033444399999993,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
538,"01070005000047",Medium,"USGS, Water Resources Division","01098530",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01098530,81.068719999999999,StreamGage,"6772927",USGS,"SUDBURY RIVER AT SAXONVILLE, MA","25",MA,106.000000000000000,274.540000000000020,42.325373200000001,-71.397560499999997,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
550,"01080106000491",Medium,"USGS, Water Resources Division","01151500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01151500,74.766040000000004,StreamGage,"6089035",USGS,"OTTAUQUECHEE RIVER AT NORTH HARTLAND, VT","50",VT,221.000000000000000,572.389999999999986,43.602570770000000,-72.354258189999996,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
559,"01080106000015",Medium,"USGS, Water Resources Division","01153000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01153000,29.676950000000001,StreamGage,"6090009",USGS,"BLACK RIVER AT NORTH SPRINGFIELD, VT","50",VT,158.000000000000000,409.220000000000027,43.333407160000000,-72.514812579999997,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
617,"01080201000347",Medium,"USGS, Water Resources Division","01158600",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01158600,89.046930000000003,StreamGage,"6778007",USGS,"OTTER BROOK BELOW OTTER BROOK DAM, NEAR KEENE, NH","33",NH,47.200000000000003,122.248000000000005,42.945914090000002,-72.236751400000003,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
640,"01080107000087",Medium,"USGS, Water Resources Division","01154000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01154000,56.198129999999999,StreamGage,"10102844",USGS,"SAXTONS RIVER AT SAXTONS RIVER, VT","50",VT,72.200000000000003,186.997999999999990,43.137577770000000,-72.488144399999996,"1","20151006",Ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
653,"01080107000022",Medium,"USGS, Water Resources Division","01155910",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01155910,97.080950000000001,StreamGage,"10102628",USGS,"WEST RIVER BELOW TOWNSHEND DAM NEAR TOWNSHEND, VT","50",VT,282.000000000000000,730.379999999999995,43.051190099999999,-72.700093899999999,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
654,"01080202000004",Medium,"USGS, Water Resources Division","01166500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01166500,31.726780000000002,StreamGage,"9343517",USGS,"MILLERS RIVER AT ERVING, MA","25",MA,372.000000000000000,963.480000000000018,42.597586200000002,-72.438142299999996,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
672,"01080102000034",Medium,"USGS, Water Resources Division","01133000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01133000,18.135339999999999,StreamGage,"4570659",USGS,"EAST BRANCH PASSUMPSIC RIVER NEAR EAST HAVEN, VT","50",VT,53.799999999999997,139.342000000000013,44.633941950000001,-71.897594200000000,"1","20151006",Non-ref,2.978,10.826,"67","77","93",9c,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN,"9"
675,"01070006001370",Medium,"USGS, Water Resources Division","01100627",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01100627,5.714080000000000,StreamGage,"6744972",USGS,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA","25",MA,72.799999999999997,188.551999999999992,42.671480600000002,-71.149223899999996,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
694,"01070001000011",Medium,"USGS, Water Resources Division","01076500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01076500,92.752319999999997,StreamGage,"6731463",USGS,"PEMIGEWASSET RIVER AT PLYMOUTH, NH","33",NH,622.000000000000000,1610.980000000000018,43.759238799999999,-71.685633699999997,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
699,"01080203000008",Medium,"USGS, Water Resources Division","01170100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01170100,38.681719999999999,StreamGage,"10294622",USGS,"GREEN RIVER NEAR COLRAIN, MA","25",MA,41.399999999999999,107.225999999999999,42.703416949999998,-72.670647380000005,"1","20151006",Ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
710,"01080106000970",Medium,"USGS, Water Resources Division","01152500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01152500,37.703969999999998,StreamGage,"9329460",USGS,"SUGAR RIVER AT WEST CLAREMONT, NH","33",NH,269.000000000000000,696.710000000000036,43.387573269999997,-72.362034089999995,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
711,"01060001000056",Medium,"USGS, Water Resources Division","01064118",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01064118,57.746479999999998,StreamGage,"6724855",USGS,"Presumpscot River at Westbrook, Maine","23",ME,577.000000000000000,1494.430000000000064,43.686944439999998,-70.347222200000004,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
716,"01070001000156",Medium,"USGS, Water Resources Division","01075000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01075000,51.424750000000003,StreamGage,"6731257",USGS,"PEMIGEWASSET RIVER AT WOODSTOCK, NH","33",NH,193.000000000000000,499.870000000000005,43.976179199999997,-71.679524400000005,"1","20151006",Non-ref,2.978,10.826,"67","77","93",9c,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN,"9"
721,"01070003000234",Medium,"USGS, Water Resources Division","01083000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01083000,97.362380000000002,StreamGage,"6764078",USGS,NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH,"33",NH,44.000000000000000,113.959999999999994,42.892860700000000,-71.986746900000000,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
723,"01060003000177",Medium,"USGS, Water Resources Division","01073000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01073000,28.546550000000000,StreamGage,"5845058",USGS,"OYSTER RIVER NEAR DURHAM, NH","33",NH,12.100000000000000,31.338999999999999,43.148695500000002,-70.965060300000005,"1","20151006",Ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
732,"01080203000024",Medium,"USGS, Water Resources Division","01170000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01170000,94.949830000000006,StreamGage,"10295286",USGS,"DEERFIELD RIVER NEAR WEST DEERFIELD, MA","25",MA,557.000000000000000,1442.630000000000109,42.535919569999997,-72.653423279999998,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
772,"01080107000035",Medium,"USGS, Water Resources Division","01155349",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01155349,99.346410000000006,StreamGage,"10102870",USGS,"WEST RIVER BELOW WINHALL RIVER, NEAR JAMAICA, VT","50",VT,161.000000000000000,416.990000000000009,43.156944439999997,-72.797777780000004,"1","20151006",,0.877,6.482,"96","107","94",9d,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN,"9"
788,"01070006000452",Medium,"USGS, Water Resources Division","01093852",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01093852,30.610209999999999,StreamGage,"6744326",USGS,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH","33",NH,103.000000000000000,266.769999999999982,42.842585800000002,-71.706739900000002,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
803,"01070006000389",Medium,"USGS, Water Resources Division","010965852",http://waterdata.usgs.gov/nwis/nwisman/?site_no=010965852,31.201860000000000,StreamGage,"6744642",USGS,"BEAVER BROOK AT NORTH PELHAM, NH","33",NH,47.799999999999997,123.802000000000007,42.782866360000000,-71.353674479999995,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
825,"02070008001579",Medium,"USGS, Water Resources Division","01646500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01646500,30.970140000000001,StreamGage,"4512772",USGS,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA","24",MD,11560.000000000000000,29940.400000000001455,38.949777779999998,-77.127638890000000,"1","20151006",Non-ref,18.904,35.425,"223","237","41",4a,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT UPLAND,"4"
836,"01010008004821",Medium,"USGS, Water Resources Division","01011500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01011500,45.951630000000002,StreamGage,"4288013",USGS,"St. Francis River near Connors, New Brunswick","90",,524.000000000000000,1357.160000000000082,47.206979259999997,-68.956428099999997,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
848,"01050002001991",Medium,"USGS, Water Resources Division","01022294",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01022294,78.196659999999994,StreamGage,"2679458",USGS,"East Br Bear Brook near Beddington, Maine","23",ME,0.042000000000000,0.108780000000000,44.859091669999998,-68.103963890000003,"1","20151006",,0.858,10.350,"81","80","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
851,"02080202000138",Medium,"USGS, Water Resources Division","02021500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02021500,92.205399999999997,StreamGage,"8540027",USGS,"MAURY RIVER AT ROCKBRIDGE BATHS, VA","51",VA,329.000000000000000,852.110000000000014,37.907352660000001,-79.421982889999995,"1","20151006",Non-ref,7.235,22.160,"161","191","62",6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"6"
859,"01050002002959",Medium,"USGS, Water Resources Division","01022840",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01022840,75.715209999999999,StreamGage,"2683216",USGS,"Otter Creek near Bar Harbor, Maine","23",ME,1.350000000000000,3.496500000000000,44.332777780000001,-68.206666700000000,"1","20151006",,0.032,1.011,"113","91","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
890,"01030003000036",Medium,"USGS, Water Resources Division","01049505",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01049505,96.591409999999996,StreamGage,"3325586",USGS,"Kennebec River at Gardiner, Maine","23",ME,5752.000000000000000,14897.680000000000291,44.230277780000002,-69.769444399999998,"1","20151006",,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
901,"01030003000338",Medium,"USGS, Water Resources Division","01046500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01046500,80.350480000000005,StreamGage,"3319220",USGS,"Kennebec River at Bingham, Maine","23",ME,2715.000000000000000,7031.850000000000364,45.051944399999996,-69.885555600000004,"1","20151006",Non-ref,2.978,10.826,"67","77","93",9c,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN,"9"
